TEMPS	VO2	VCO2	FR	VT
193	581.1523551	342.18911	16.61129568	0.754777902
195	615.5279455	316.2284099	26.63115846	0.524264651
197	781.7557967	385.3020205	29.9550674	0.557923665
200	1064.851765	550.7327823	25.35925613	0.792516797
205	1056.013703	598.7244806	17.23147616	1.088308136
209	863.329939	494.13065	15.27106134	1.034249719
211	780.3360811	446.4308096	16.05995717	0.934292646
213	527.811813	279.1951511	22.81368821	0.553843784
216	736.7821111	396.6620892	24.06738869	0.5977025
219	673.5108236	362.343426	24.63054187	0.555883725
221	1058.872058	559.843493	23.41006633	0.773137364
224	1143.135653	603.1427881	22.88329519	0.836375512
227	1340.126309	699.8985867	21.00840336	1.009770436
230	1237.577749	665.9421691	19.4426442	1.074028554
233	1259.090511	678.5999844	21.23142251	1.073008584
236	1219.091278	688.8708483	21.25398512	1.099527808
238	1266.763848	721.9185902	21.17896223	1.127067002
241	1291.058008	744.7234912	20.64693737	1.169905747
245	1207.889615	727.6884887	18.29268293	1.216824374
248	1312.660951	748.3213519	18.90954932	1.203564762
251	1417.266451	758.7332722	19.10828025	1.197444941
254	1746.393833	876.2185016	22.06693637	1.212744493
257	1743.069492	881.2450123	20.54794521	1.298421985
262	1727.187958	915.5821087	16.82557487	1.610532847
263	1662.091306	873.8280198	18.33180568	1.461617207
266	1828.581514	955.6519383	20.4778157	1.418778461
268	1942.926292	987.4437681	27.86809104	1.124007091
270	1955.464087	1017.666116	26.36203866	1.198464911
272	1729.962661	911.1240937	25.90673575	1.127067002
274	1714.79218	912.9647155	27.95899348	1.035269689
277	1899.488889	1001.670772	28.66698519	1.061788913
279	1863.8413	976.9995853	28.94356006	1.030169839
280	1734.860354	869.7543786	30.25718608	0.916953153
283	1570.778054	770.8223715	29.08385846	0.879214258
285	1604.311669	808.7236027	27.53556677	0.944492347
287	1783.961844	915.3627381	25.57544757	1.095447927
289	1955.233803	989.2216615	27.03920685	1.100547778
292	2041.657861	1010.349701	28.395646	1.068928704
294	2016.466872	1002.118962	27.82931354	1.077088465
297	1806.852639	922.5523008	25.01042101	1.126047031
